id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
12,EACH,Gestão de Políticas Públicas,2021,Escola Pública (EP),Primeira,750,790,700,670,960,713,200,200,200,160,200,
0,EACH,Sistemas de Informação,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,659.3,666.7,627.1,703.6,880,707.34,160,180,160,180,200,
24,ECA,Com. Social: Editoração,2020,Ampla Concorrência (AC),Primeira,669.6,688,640.9,838.7,980,793,180,200,200,200,200,https://drive.google.com/open?id=1OWcisZ_cYUSVgdDGupYAZMeEqNMk9LJR
24,ECA,Com. Social: Editoração,2021,Escola Pública (EP),Primeira,626.1,717.5,590.9,636.6,980,761.63,,,,,,
27,ECA,Relações Públicas,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,697,659.3,583.7,657.2,920,757.32,160,200,200,160,200,
38,EEL,Engenharia Química,2020,"Pretos, Pardos e Indígenas (PPI)",Primeira,643.3,637.1,682.4,735.8,660,671.72,140,120,160,120,120,https://drive.google.com/open?id=1SPGhfebcJATTc62qq2b3yNcX5Z0kDpzF
67,ESALQ,Ciências dos Alimentos,2021,Ampla Concorrência (AC),Segunda,576.6,616.2,619.6,725.6,880,702.51,180,200,180,180,140,
72,FAU,Arquitetura e Urbanismo,2021,Escola Pública (EP),Primeira,646,708.8,651,743.9,940,766.9,160,200,180,200,200,https://drive.google.com/open?id=19XPfGilB3hNegvZk8373e4kFjCpBpjs-
72,FAU,Arquitetura e Urbanismo,2021,Escola Pública (EP),Primeira,644,730,659,866,920,790,160,200,160,200,200,
72,FAU,Arquitetura e Urbanismo,2021,Escola Pública (EP),Primeira,654,714,629,787,940,776,160,200,200,180,200,https://drive.google.com/open?id=1RMWpOEvSWh7-qg6Q-7KNh_PAiEAxmHJj
78,FD,Direito Noturno,2021,Escola Pública (EP),Segunda,641.8,742.1,634.5,695.1,980,757.17,,,,,,
78,FD,Direito Noturno,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,608,659,584,729,940,716,160,200,180,200,200,https://drive.google.com/open?id=1URSraRPBd22j5MbvurJaeT5eTn4hfZlj
85,FEA,Economia Noturno,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,638,726,669,804,960,761,180,200,180,200,200,
88,FEARP,Ciências Contábeis (Noturno),2021,Escola Pública (EP),Após a terceira,608,637,575,693,800,662,140,180,160,180,140,
90,FEARP,Economia Empresarial e Controladoria,2021,Ampla Concorrência (AC),Primeira,649.5,742.8,716,810.8,840,757,,,,,,
90,FEARP,Economia Empresarial e Controladoria,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,599,589,560,733,980,702,180,200,200,200,200,https://drive.google.com/open?id=1FRusMbMtIc7vfV196tPkCbXQzPkwlHVl
111,FFLCH,Letras (Básico),2021,Escola Pública (EP),Primeira,644,546,594,586,920,716,160,200,160,200,200,https://drive.google.com/open?id=15lrQ2UrnIYMMoQHs1yOnnDRDGjSk__mX
137,FZEA,Zootecnia,2021,Escola Pública (EP),Primeira,636.5,651.7,626.4,721.8,960,705.33,,,,,,
137,FZEA,Zootecnia,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,598,678,594,495,900,653,,,,,,
145,ICB,Ciências Biomédicas,2021,Escola Pública (EP),Primeira,695.3,783.2,664.3,806.6,840,757.88,,,,,,
147,ICMC,ABI - Matemática (integral),2018,Ampla Concorrência (AC),Primeira,645.4,771.7,661.8,846.5,920,776.56,180,180,200,180,180,https://drive.google.com/open?id=1iSn0DmwVeb5xvU--iXWowvA_lQDa60Li
149,ICMC,Bacharelado em Sistemas de Informação,2021,Ampla Concorrência (AC),Primeira,610.7,718.4,701.6,839.9,940,774.27,160,200,200,180,200,
146,ICMC,Ciências de Computação,2020,Escola Pública (EP),Após a terceira,605,603,576,752,620,646,140,120,140,140,80,
152,IF,Física (Bach),2020,Escola Pública (EP),Após a terceira,595.8,647.9,626.6,703.4,840,697.96,140,180,160,180,180,https://drive.google.com/open?id=1yBPpGKsTl8fLnbswr0TZquU6d5Jt1gJI
160,IGc,Geologia,2021,"Pretos, Pardos e Indígenas (PPI)",Segunda,578,619,552,671,720,616,160,200,140,120,160,
162,IME,Ciência da Computação,2021,Ampla Concorrência (AC),Segunda,668,684,741,940,940,820.46,180,180,180,200,200,https://drive.google.com/open?id=1rWtcQd8G9xHzMUM1ZmDrZmr858ZJwYQK
