id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
60,Poli,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Ampla Concorrência (AC),Primeira,706.0,802.7,716.4,916.3,820,792.78,,,,,,
54,Poli,Engenharia Civil,2022,Ampla Concorrência (AC),Primeira,647.8,716.5,719.1,927.4,940,789.66,,,,,,
60,Poli,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Ampla Concorrência (AC),Primeira,636.0,739.0,730.0,926.0,960,798.0,160,200,200,200,200,
110,FFLCH,História - Bach./Lic. noturno,2022,"Pretos, Pardos e Indígenas (PPI)",Primeira,638.0,701.0,483.0,698.0,920,688.0,,,,,,
55,Poli,Engenharia de Computação,2022,Escola Pública (EP),Lista de espera - Quarta,635.0,736.0,746.0,864.0,880,772.0,,,,,,
64,Poli,Engenharia Química (quadrimestral),2022,Ampla Concorrência (AC),Primeira,688.0,783.7,732.6,893.5,920,799.68,,,,,,
55,Poli,Engenharia de Computação,2022,Ampla Concorrência (AC),Primeira,705.5,723.3,769.5,934.2,920,813.55,,,,,,
112,FFLCH,Letras – Bach./Lic. noturno,2022,Escola Pública (EP),Lista de espera - Primeira,500.0,637.0,500.0,500.0,800,655.0,0,0,0,0,0,
74,FCF,Farmácia diurno,2022,Escola Pública (EP),Lista de espera - Segunda,624.5,614.2,606.4,694.5,900,687.04,,,,,,
3,EACH,Bacharelado em Educação Física e Saúde,2022,Ampla Concorrência (AC),Terceira,652.9,681.5,639.9,707.2,640,657.34,,,,,,
62,Poli,Engenharia Mecatrônica,2022,Ampla Concorrência (AC),Primeira,744.3,780.3,822.0,884.8,840,818.61,160,200,140,160,180,https://drive.google.com/open?id=18qlNRsAl-OaQ_ktnPVbc0sTan0nrvB09
55,Poli,Engenharia de Computação,2022,Ampla Concorrência (AC),Lista de espera - Segunda,664.5,743.9,660.0,859.9,880,744.46,140,200,160,140,160,
80,FEA,Bacharelado em Administração,2022,Escola Pública (EP),Primeira,635.0,714.0,659.0,721.0,880,720.0,160,200,160,180,180,
110,FFLCH,História - Bach./Lic. noturno,2022,Escola Pública (EP),Lista de espera - Segunda,560.0,627.0,459.0,610.0,800,647.0,160,180,140,160,160,https://drive.google.com/open?id=1bebPr4V5CxujW9MoeKycalYSFzP7tceL
14,EACH,Marketing diurno,2022,Ampla Concorrência (AC),Primeira,662.0,687.0,675.0,883.0,940,814.0,160,200,180,200,200,https://drive.google.com/open?id=1JWr50vaAJZGGo5qp4ddpx7nS1O9RPOGu
52,Engenharia de Computação (EESC/ICMC),engenharia de computação(icmc e eesc),2022,Ampla Concorrência (AC),Lista de espera - Terceira,653.1,759.5,646.4,797.3,880,760.5,160,200,160,160,200,
81,FEA,Bacharelado em Administração,2022,Ampla Concorrência (AC),Primeira,648.2,745.5,720.3,822.0,920,777.55,160,200,160,200,200,
55,Poli,Engenharia de Computação,2022,Ampla Concorrência (AC),Primeira,715.0,816.1,828.5,910.9,960,844.27,160,200,200,200,200,https://drive.google.com/open?id=1mR4HmdmwGubkfDo6U26ssZ4ZRQi01hrb
90,FEARP,Bacharelado em Finanças e Negócios,2022,Ampla Concorrência (AC),Terceira,615.0,699.0,623.0,778.0,860,715.0,160,200,160,160,180,https://drive.google.com/open?id=1fY8Mo7__igOIg_DinYuRMKvutenErVSv
14,EACH,Marketing diurno,2022,Ampla Concorrência (AC),Primeira,605.0,702.0,687.0,908.0,920,764.0,160,200,200,200,160,
143,IB,Ciências Biológicas - Bach./Lic. diurno,2022,Escola Pública (EP),Primeira,603.5,714.3,657.4,752.8,980,752.8,180,200,200,200,200,
47,EESC,Engenharia de Produção,2022,Ampla Concorrência (AC),Primeira,677.7,690.9,687.0,867.3,960,799.52,160,200,200,200,200,https://drive.google.com/open?id=1L-LuDvI-FM74NYvZ_dzUktCYWdEX4qJS
139,IAU,Arquitetura e Urbanismo,2022,Ampla Concorrência (AC),Lista de espera - Segunda,646.1,678.0,603.8,743.4,940,755.88,160,200,180,200,200,
29,ECA,Curso Superior do Audiovisual,2022,Escola Pública (EP),Primeira,657.8,643.1,595.4,812.8,980,793.0,180,200,200,200,200,https://drive.google.com/open?id=1qYEVtMiTUMH-bzcfdYkee2zyqsyPoguu
1,EACH,Bacharelado em Sistemas de Informação noturno,2020,"Pretos, Pardos e Indígenas (PPI)",Lista de espera - Primeira,584.0,518.0,473.0,680.0,900,739.0,,,,,,
1,EACH,Bacharelado em Sistemas de Informação noturno,2021,Escola Pública (EP),Primeira,616.5,597.6,606.8,670.3,840,673.51,160,200,140,160,180,https://drive.google.com/open?id=1A_6pvll36_WOS0ix_q1gs9sBqoU6RKi5
85,FEA,Bacharelado em Ciências Econômicas,2023,Escola Pública (EP),Primeira,696.6,721.5,704.4,853.8,900,775.26,,,,,,
53,Poli,Engenharia Ambiental,2023,Ampla Concorrência (AC),Lista de espera - Primeira,630.7,656.1,703.1,919.7,920,769.0,,,,,,
155,IF,Física – Licenciatura noturno,2023,Escola Pública (EP),Segunda,617.0,574.0,629.0,780.0,760,691.0,120,200,120,160,160,
